nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
545,1,0,900,2,1,0,0.0,0,545.0,0.5322265625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
579,1,1,899,2,0,0,0,0,579.0,0.5654296875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
732,1,0,900,2,0,0,0,0,732.0,0.71484375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
255,1,0,900,2,0,0,0,0,255.0,0.2490234375,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
114,1,0,900,2,0,0,0,0,114.0,0.111328125,13
176,1,0,900,2,0,0,0,0,176.0,0.171875,13
672,1,0,900,2,0,0,0,0,672.0,0.65625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
192,1,0,900,2,0,0,0,0,192.0,0.1875,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
215,1,0,900,2,0,0,0,0,215.0,0.2099609375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
135612,557,87,813,19,18,0,18400.666666666668,0,243.46858168761221,0.2377622868043088,13
350,1,1,899,2,0,0,0,0,350.0,0.341796875,13
350,1,1,899,2,0,0,0,0,350.0,0.341796875,13
342,1,1,899,2,0,0,0,0,342.0,0.333984375,13
342,1,0,900,2,0,0,0,0,342.0,0.333984375,13
350,1,0,900,2,0,0,0,0,350.0,0.341796875,13
342,1,0,900,2,0,0,0,0,342.0,0.333984375,13
78,1,0,900,2,1,0,0,0,78.0,0.076171875,13
449,1,0,900,2,1,0,0.0,0,449.0,0.4384765625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
580,1,1,899,2,0,0,0,0,580.0,0.56640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
732,1,0,900,2,0,0,0,0,732.0,0.71484375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
108,1,0,900,2,0,0,0,0,108.0,0.10546875,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
285,1,0,900,2,0,0,0,0,285.0,0.2783203125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
103,1,0,900,2,1,0,0,0,103.0,0.1005859375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
545,1,0,900,2,1,0,0.0,0,545.0,0.5322265625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
580,1,1,899,2,0,0,0,0,580.0,0.56640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
731,1,0,900,2,0,0,0,0,731.0,0.7138671875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
455,1,0,900,2,0,0,0,0,455.0,0.4443359375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
114,1,0,900,2,0,0,0,0,114.0,0.111328125,13
176,1,0,900,2,0,0,0,0,176.0,0.171875,13
672,1,0,900,2,0,0,0,0,672.0,0.65625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
284,1,0,900,2,0,0,0,0,284.0,0.27734375,13
114,1,1,899,2,0,0,0,0,114.0,0.111328125,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
211,1,0,900,2,0,0,0,0,211.0,0.2060546875,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
192,1,0,900,2,0,0,0,0,192.0,0.1875,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
215,1,0,900,2,0,0,0,0,215.0,0.2099609375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
92,1,0,900,2,1,0,0,0,92.0,0.08984375,13
398,1,0,900,2,1,0,0.0,0,398.0,0.388671875,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
581,1,0,900,2,0,0,0,0,581.0,0.5673828125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
731,1,0,900,2,0,0,0,0,731.0,0.7138671875,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
124,1,0,900,2,0,0,0,0,124.0,0.12109375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
111,1,0,900,2,0,0,0,0,111.0,0.1083984375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,1,899,2,0,0,0,0,509.0,0.4970703125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
123,1,0,900,2,0,0,0,0,123.0,0.1201171875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
581,1,1,899,2,0,0,0,0,581.0,0.5673828125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
733,1,0,900,2,0,0,0,0,733.0,0.7158203125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
186,1,0,900,2,0,0,0,0,186.0,0.181640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
114,1,0,900,2,0,0,0,0,114.0,0.111328125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
350,1,0,900,2,0,0,0,0,350.0,0.341796875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
46929,189,30,870,10,6,0,2.3333333333333335,0,248.3015873015873,0.24248201884920634,13
350,1,1,899,2,0,0,0,0,350.0,0.341796875,13
350,1,1,899,2,0,0,0,0,350.0,0.341796875,13
342,1,1,899,2,0,0,0,0,342.0,0.333984375,13
342,1,0,900,2,0,0,0,0,342.0,0.333984375,13
350,1,0,900,2,0,0,0,0,350.0,0.341796875,13
342,1,0,900,2,0,0,0,0,342.0,0.333984375,13
78,1,0,900,2,1,0,0,0,78.0,0.076171875,13
449,1,0,900,2,1,0,0.0,0,449.0,0.4384765625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
581,1,0,900,2,0,0,0,0,581.0,0.5673828125,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
731,1,0,900,2,0,0,0,0,731.0,0.7138671875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
108,1,0,900,2,0,0,0,0,108.0,0.10546875,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
285,1,0,900,2,0,0,0,0,285.0,0.2783203125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
103,1,0,900,2,1,0,0,0,103.0,0.1005859375,13
545,1,0,900,2,1,0,0.0,0,545.0,0.5322265625,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
581,1,0,900,2,0,0,0,0,581.0,0.5673828125,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
731,1,0,900,2,0,0,0,0,731.0,0.7138671875,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
455,1,0,900,2,0,0,0,0,455.0,0.4443359375,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
114,1,0,900,2,0,0,0,0,114.0,0.111328125,13
176,1,0,900,2,0,0,0,0,176.0,0.171875,13
672,1,0,900,2,0,0,0,0,672.0,0.65625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
283,1,0,900,2,0,0,0,0,283.0,0.2763671875,13
114,1,0,900,2,0,0,0,0,114.0,0.111328125,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
211,1,0,900,2,0,0,0,0,211.0,0.2060546875,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
192,1,1,899,2,0,0,0,0,192.0,0.1875,13
234,1,0,900,2,0,0,0,0,234.0,0.228515625,13
215,1,0,900,2,0,0,0,0,215.0,0.2099609375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
92,1,0,900,2,1,0,0,0,92.0,0.08984375,13
398,1,0,900,2,1,0,0.0,0,398.0,0.388671875,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
58,1,0,900,2,0,0,0,0,58.0,0.056640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
580,1,1,899,2,0,0,0,0,580.0,0.56640625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
730,1,0,900,2,0,0,0,0,730.0,0.712890625,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
106,1,1,899,2,0,0,0,0,106.0,0.103515625,13
54,1,1,899,2,0,0,0,0,54.0,0.052734375,13
124,1,0,900,2,0,0,0,0,124.0,0.12109375,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
111,1,0,900,2,0,0,0,0,111.0,0.1083984375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,13
54,1,0,900,2,0,0,0,0,54.0,0.052734375,13
509,1,0,900,2,0,0,0,0,509.0,0.4970703125,13
109,1,1,899,2,0,0,0,0,109.0,0.1064453125,13
